Itens em Ata com ATA diferente da Planilha de Compras 2 / 2023
  CÓDIGO       ATA  VENCIMENTO  OBSERVAÇÃO
================================================================================
  14.662    179/22  07.12.2023  # de   54/20 - 12.03.2021
  10.867    181/22  08.12.2023  # de   16/21 - 19.01.2022
  24.371     17/23  05.02.2024  # de  224/20 - 01.10.2021
  32.534     17/23  05.02.2024  # de  224/20 - 01.10.2021
  34.801     17/23  05.02.2024  # de  224/20 - 01.10.2021
  54.680     17/23  06.02.2024  # de  147/20 - 06.07.2021
  64.044     17/23  06.02.2024  # de  147/20 - 06.07.2021
   9.413      0/23  26.03.2024  # de  159/20 - 02.08.2021
  12.685      0/23  26.03.2024  # de  308/20 - 28.12.2021
  14.154      0/23  26.03.2024  # de  275/20 - 15.11.2021
  87.698      0/23  26.03.2024  # de  275/20 - 15.11.2021
  87.699      0/23  26.03.2024  # de  275/20 - 15.11.2021
  91.669      0/23  26.03.2024  # de  308/20 - 28.12.2021
 102.922      0/23  26.03.2024  # de  308/20 - 28.12.2021
 133.021      0/23  26.03.2024  # de  308/20 - 28.12.2021
  10.719     87/23  10.05.2024  # de   85/21 - 23.03.2022
  14.121    102/23  03.06.2024  # de   93/21 - 29.03.2022
  12.652    108/23  11.06.2024  # de  178/20 - 20.08.2021
  10.412    124/23  16.07.2024  # de  137/21 - 12.05.2022
  42.566    143/23  05.09.2024  # de  145/21 - 26.05.2022
  49.033    143/23  05.09.2024  # de  145/21 - 26.05.2022
  50.591    143/23  05.09.2024  # de  145/21 - 26.05.2022
  56.519    143/23  05.09.2024  # de  145/21 - 26.05.2022
  56.520    143/23  05.09.2024  # de  145/21 - 26.05.2022
  74.907    143/23  05.09.2024  # de  145/21 - 26.05.2022
  75.334    143/23  05.09.2024  # de  131/21 - 06.05.2022
  76.583    143/23  05.09.2024  # de   90/21 - 27.03.2022
  77.556    143/23  05.09.2024  # de  145/21 - 26.05.2022
  77.562    143/23  05.09.2024  # de  145/21 - 26.05.2022
  78.307    143/23  05.09.2024  # de  145/21 - 26.05.2022
 118.427    143/23  05.09.2024  # de  145/21 - 26.05.2022
 134.556    143/23  05.09.2024  # de  145/21 - 26.05.2022
 139.957    162/23  26.09.2024  # de  105/21 - 07.04.2022
 139.958    162/23  26.09.2024  # de  105/21 - 07.04.2022
 134.246    168/23  04.10.2024  # de   78/21 - 16.03.2022
 134.247    168/23  04.10.2024  # de  202/20 - 10.09.2021
 127.664    167/23  05.10.2024  # de   33/20 - 15.02.2021
================================================================================
14662,10867,24371,32534,34801,54680,64044,9413,12685,14154,87698,87699,91669,102922,133021,10719,14121,12652,10412,42566,49033,50591,56519,56520,74907,75334,76583,77556,77562,78307,118427,134556,139957,139958,134246,134247,127664
================================================================================
